system:index,m_bu,m_nl,s_bu,s_nl,v_code_2011,.geo
10537,0.03220309725955132,0.006396209052341207,182.1686274509804,36.18250178122054,216087,
10459,0.03152539118748195,0.0069516252796321745,289.7647058823529,63.895659298172184,216079,
10531,0.04983930013048939,0.023265397593980323,384.9372549019608,179.69189496203964,216072,
10620,0.107160574461349,0.01603663127900358,674.298039215686,100.90902443750232,216196,
10520,0.08901107847194423,0.014519676578578417,514.5294117647056,83.93113281224291,216184,
10526,0.1314181309368017,0.021087588920234917,944.3686274509801,151.53508319509962,216180,
10518,0.11061643990878306,0.04081814114559199,478.4117647058824,176.53685974326785,215996,
10516,0.05505894975085407,0.03749348023393372,404.10980392156864,275.18655939195673,215998,
10512,0.05912854025149739,0.030988135988488773,188.80392156862746,98.94852083009832,216004,
10514,0.07014833443330144,0.04556358452537652,349.70980392156866,227.14769123255041,216002,
10484,0.08192027365649776,0.04441106861303182,387.30588235294107,209.96839179922551,216021,
10598,0.08328966885631174,0.028230068062891342,339.1098039215686,114.9373382911963,216024,
10615,0.08698338446962907,0.038427756780543935,437.8156862745098,193.41940773456705,216003,
10539,0.1298857172360766,0.021297686927440575,2525.501960784313,414.11289277988305,216013,
10434,0.06199092725826839,0.02194036350417818,646.556862745098,228.83497992613738,216038,
10468,0.047431451527736666,0.017572381795702065,237.77647058823527,88.09131470007055,216017,
10471,0.05402243425499823,0.03183696234148241,378.2784313725489,222.9302759175207,216019,
10187,0.06305539044780185,0.022625474334766058,418.09803921568624,150.0215348523037,216037,
10436,0.05623230931588084,0.024357397368024142,337.8862745098039,146.35767859372436,216035,
10612,0.06353183397921551,0.028381521668665966,292.84313725490193,130.82156337937892,216029,
10579,0.076310441307521,0.029066669730289117,288.46274509803925,109.87554517563652,216063,
10591,0.059762503862623086,0.029275686530510568,265.45098039215685,130.03571117169716,216030,
10477,0.08980351192881586,0.02923938573822656,369.5058823529411,120.30849122276491,216068,
10133,0.027876634400747308,0.007957524188344996,214.74901960784314,61.301177659630774,216122,
10289,0.055339342715558106,0.049795446016912166,186.078431372549,167.4370895937377,216129,
10381,0.05586239127514368,0.02097733078792943,231.5607843137255,86.95523158212502,216046,
